substance_ID,assignment,substances,PubChemCID,CAS,synonyms,chemical,pharmco,street_smarts,trending,new_tags,AI_tags,pronunciation,sixwords,vernacular,notes,smiles1,status,R1 complete,tags,opioid,stimulant,psychedelic,cannabinoid,sedative,steroid,category
1.0,Nab,"1,2-Dibromo-4,5-methylenedioxybenzene",225814.0,5279-32-3,"5,6-dibromo-1,3-benzodioxole;1,2-dibromo-4,5-(methylenedioxy)benzene","impurity, methamphetamine impurity, stimulant, synthetic",human effects uncertain,,uncommon,not psychoactive,,,"Meth production impurity, rare",,,C1OC2=CC(=C(C=C2O1)Br)Br,tagging done,to do,impurity;methamphetamine impurity;stimulant;synthetic;human effects uncertain;uncommon;not psychoactive;,,stimulant,,,,,stimulant
2.0,Nab,"1,3-Diacetin",66924.0,105-70-4,"glyceryl diacetate;2-Hydroxypropane-1,3-diyl diacetate;glyceryl 1,3-diacetate",fentanyl impurity,"human effects uncertain, inert","cut, flavor, non-toxic","established, uncommon",local relevance,"impurity, flavor, GCMS breakdown product",,Inactive fentanyl cut common in NC,,"Common in fentanyl samples in NC, rare elsewhere. Food, paint, other additive as solvent, flavor, plasticizer.",CC(=O)OCC(COC(=O)C)O,finalize,done,fentanyl impurity;human effects uncertain;inert;cut;flavor;non-toxic;established;uncommon;local relevance;,,,,,,,other
3.0,Nab,"1,4-Butanediol",8064.0,110-63-4,,"industrial chemical, solvent, synthetic",,downer,,"GHB impurity, night life","impurity, sedative, downer",,"related to GHB, unclear if active",Liquid Fantasy; 1-4-B,"Precurser to gamma-hydroxybutyrate (GHB) - metabolized in the body, so hypothesized active, but mixed reports. Some federal courts in the USA have stated that 1,4-butanediol exerts effects similar to its metabolite GHB, but several other federal courts have ruled that it does not.",C(CCO)CO,finalize,done,industrial chemical;solvent;synthetic;downer;GHB impurity;night life;,,,,,,,other
4.0,,"1-(3,4-Methylenedioxyphenyl)-2-propanol",95505.0,,,,,,,,,,,,,CC(CC1=CC2=C(C=C1)OCO2)O,,,,,,,,,,
5.0,Nab,1-2-propanol,7900.0,,"3,4-Methylenedioxyphenyl",,human effects uncertain,,,,,,,,,CC(COC)O,to do,to do,human effects uncertain;,,,,,,,
6.0,,1-[(2-chlorophenyl)(methylimino)methyl]cyclopentanol,13086940.0,,,,,,,,,,,,,CN=C(C1=CC=CC=C1Cl)C2(CCCC2)O,to do,to do,,,,,,,,
7.0,Nab,1-[methyl]cyclopentanol,73830.0,,1-Methylcyclopentanol,"impurity, ketamine impurity, synthetic",human effects uncertain,,uncommon,"not psychoactive, synthesis byproduct","impurity, GCMS breakdown product, uncommon",,"Leftover from making ketamine, inactive",,Appears similar to other starting materials used in clandestine manufacture of ketamine https://www.sciencedirect.com/science/article/abs/pii/S0379073823002268,CC1(CCCC1)O,finalize,done,impurity;ketamine impurity;synthetic;human effects uncertain;uncommon;not psychoactive;synthesis byproduct;,,,,,,,other
8.0,,1-Boc-4-(4-fluoro-phenylamino)-piperidine,16413902.0,,,,,,,,,,,,,CC(C)(C)OC(=O)N1CCC(CC1)NC2=CC=C(C=C2)F,,,,,,,,,,
9.0,Nab,1-Boc-4-piperidine,392871.0,,N-BOC-piperidine-4-carboxylic acid,,human effects uncertain,,,,,,,,,CC(C)(C)OC(=O)N1CCC(CC1)C(=O)O,to do,to do,human effects uncertain;,,,,,,,
10.0,Nate,1-phenethyl-4-hydroxypiperidine,77055.0,3518-76-1,1-(2-phenylethyl)piperidin-4-ol; 1-Phenethylpiperidin-4-ol,"fentanyl precursor, opioid",human effects uncertain,,emerging,,"opioid, fentanyl impurity, GCMS breakdown product",,Fentanyl pre-pre-cursor material,,,C1CN(CCC1O)CCC2=CC=CC=C2,tagging done,to do,fentanyl precursor;opioid;human effects uncertain;emerging;,opioid,,,,,,opioid
